Change ID,Snapshot Date,Inactive Ingredient,Route of Administration,Dosage Form,Maximum Potency per Unit Dose,Maximum Daily Exposure,Maximum Daily Exposure UOM,Status
6384,Q1 2026,POLYVINYL ACETATE PHTHALATE,ORAL,"TABLET, EXTENDED RELEASE",37.40 mg,,,R
6384,Q2 2026,POLYVINYL ACETATE PHTHALATE,ORAL,"TABLET, EXTENDED RELEASE",,110,mg,R
6387,Q1 2026,POLYVINYL ALCOHOL,OPHTHALMIC,SOLUTION,1.40 %w/w,,,R
6387,Q2 2026,POLYVINYL ALCOHOL,OPHTHALMIC,SOLUTION,,6,mg,R
6959,Q1 2026,SHELLAC,ORAL,"TABLET, DELAYED RELEASE",21.44 mg,,,R
6959,Q2 2026,SHELLAC,ORAL,"TABLET, DELAYED RELEASE",,8,mg,R
7178,Q1 2026,SODIUM ASCORBATE,ORAL,TABLET,15.00 mg,,,R
7178,Q2 2026,SODIUM ASCORBATE,ORAL,TABLET,,30,mg,R
7317,Q1 2026,SODIUM CARBONATE,ORAL,TABLET,10.40 mg,,,R
7317,Q2 2026,SODIUM CARBONATE,ORAL,TABLET,,100,mg,R
7483,Q1 2026,SODIUM FORMALDEHYDE SULFOXYLATE,INTRAVENOUS,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",0.10 %w/v,,,R
7483,Q2 2026,SODIUM FORMALDEHYDE SULFOXYLATE,INTRAVENOUS,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",,11,mg,R
8052,Q1 2026,SODIUM POLYSTYRENE SULFONATE,OPHTHALMIC,SUSPENSION,0.25 %v/v,,,R
8052,Q2 2026,SODIUM POLYSTYRENE SULFONATE,OPHTHALMIC,SUSPENSION,,1,mg,R
8375,Q1 2026,STARCH,ORAL,"TABLET, DELAYED RELEASE",179.88 mg,,,R
8375,Q2 2026,STARCH,ORAL,"TABLET, DELAYED RELEASE",,232,mg,R
8494,Q1 2026,STEAR-O-WET M,ORAL,TABLET,860.00 mg,,,R
8494,Q2 2026,STEAR-O-WET M,ORAL,TABLET,,26,mg,R
